pickup,dropoff,passengers,distance,fare,payment,pickup_zone,dropoff_zone
23-03-2019 20:21,23-03-2019 20:27,1,1.6,7,credit card,Lenox Hill West,UN/Turtle Bay South
04-03-2019 16:11,04-03-2019 16:19,1,0.79,5,cash,Upper West Side South,Upper West Side South
27-03-2019 17:53,27-03-2019 18:00,1,1.37,7.5,credit card,Alphabet City,West Village
10-03-2019 01:23,10-03-2019 01:49,1,7.7,27,credit card,Hudson Sq,Yorkville West
30-03-2019 13:27,30-03-2019 13:37,3,2.16,9,credit card,Midtown East,Yorkville West
11-03-2019 10:37,11-03-2019 10:47,1,0.49,7.5,credit card,Times Sq/Theatre District,Midtown East
26-03-2019 21:07,26-03-2019 21:17,1,3.65,13,credit card,Battery Park City,Two Bridges/Seward Park
22-03-2019 12:47,22-03-2019 12:58,0,1.4,8.5,,Murray Hill,Flatiron
23-03-2019 11:48,23-03-2019 12:06,1,3.63,15,credit card,East Harlem South,Midtown Center
08-03-2019 16:18,08-03-2019 16:26,1,1.52,8,credit card,Lincoln Square East,Central Park
16-03-2019 10:02,16-03-2019 10:22,1,3.9,17,cash,LaGuardia Airport,Astoria
20-03-2019 19:39,20-03-2019 19:45,1,1.53,6.5,credit card,Upper West Side South,Manhattan Valley
18-03-2019 21:27,18-03-2019 21:34,1,1.05,6.5,credit card,Murray Hill,Midtown Center
19-03-2019 07:55,19-03-2019 08:09,1,1.75,10.5,cash,Lincoln Square West,Times Sq/Theatre District
27-03-2019 12:13,27-03-2019 12:25,0,2.9,11.5,cash,Financial District North,Two Bridges/Seward Park
16-03-2019 17:53,16-03-2019 18:13,3,2.09,13.5,cash,Upper West Side North,Clinton East
15-03-2019 12:36,15-03-2019 12:54,1,2.12,13,cash,East Chelsea,Meatpacking/West Village West
23-03-2019 20:50,23-03-2019 21:02,1,2.6,10.5,credit card,Midtown Center,East Harlem South
27-03-2019 06:28,27-03-2019 06:38,1,2.18,9.5,credit card,Gramercy,Midtown Center
25-03-2019 22:04,25-03-2019 22:11,6,1.08,6.5,credit card,East Chelsea,East Chelsea
21-03-2019 03:37,21-03-2019 03:44,1,1.07,6.5,credit card,Penn Station/Madison Sq West,Kips Bay
25-03-2019 23:05,25-03-2019 23:11,1,0.8,5.5,credit card,Penn Station/Madison Sq West,Murray Hill
28-03-2019 17:20,28-03-2019 17:55,1,9.82,31.5,credit card,LaGuardia Airport,Sutton Place/Turtle Bay North
04-03-2019 12:15,04-03-2019 12:26,5,1.09,8.5,credit card,Sutton Place/Turtle Bay North,Midtown North
24-03-2019 09:53,24-03-2019 10:01,5,2.89,9.5,credit card,Lenox Hill West,Gramercy
25-03-2019 08:01,25-03-2019 08:13,1,1.9,10,credit card,Lincoln Square East,Midtown South
03-03-2019 02:45,03-03-2019 03:02,1,3.35,13.5,cash,West Chelsea/Hudson Yards,Seaport
16-03-2019 20:30,16-03-2019 20:46,1,2.6,12.5,credit card,Clinton East,Lenox Hill West
20-03-2019 12:25,20-03-2019 12:45,1,4.71,17.5,credit card,Clinton West,East Harlem North
06-03-2019 08:09,06-03-2019 08:27,1,0.92,12,cash,UN/Turtle Bay South,Garment District
10-03-2019 15:14,10-03-2019 15:20,1,1.84,7,credit card,Lenox Hill West,East Harlem South
01-03-2019 02:55,01-03-2019 02:57,3,0.74,4,cash,Clinton East,West Chelsea/Hudson Yards
17-03-2019 19:24,17-03-2019 19:29,1,0.62,5.5,credit card,Midtown Center,Sutton Place/Turtle Bay North
20-03-2019 22:29,20-03-2019 22:32,2,0.65,4.5,credit card,Midtown South,Midtown Center
21-03-2019 10:48,21-03-2019 10:57,2,0.87,7.5,credit card,Midtown North,Clinton West
01-03-2019 17:39,01-03-2019 18:04,1,3.06,17,credit card,West Chelsea/Hudson Yards,Lenox Hill East
22-03-2019 17:28,22-03-2019 17:33,1,1.1,5.5,cash,Garment District,Flatiron
21-03-2019 18:41,21-03-2019 19:15,1,3.13,20.5,cash,Lenox Hill East,Garment District
18-03-2019 16:03,18-03-2019 16:10,2,1.13,6.5,credit card,Gramercy,Murray Hill
25-03-2019 22:50,25-03-2019 22:59,1,2.47,10,credit card,Garment District,Upper West Side South
07-03-2019 15:15,07-03-2019 15:50,1,7.51,27,credit card,Flatiron,Carroll Gardens
24-03-2019 18:42,24-03-2019 19:09,0,4.5,20,cash,TriBeCa/Civic Center,Kips Bay
30-03-2019 23:59,30-03-2019 23:59,1,0,80,credit card,,
27-03-2019 19:39,27-03-2019 20:00,1,9.5,28,cash,LaGuardia Airport,Washington Heights South
14-03-2019 07:19,14-03-2019 07:45,1,9.37,29.5,credit card,East Harlem South,Battery Park City
07-03-2019 11:19,07-03-2019 11:39,1,0.8,12.5,credit card,Lincoln Square East,Midtown East
20-03-2019 11:40,20-03-2019 12:06,2,4.7,20,cash,Times Sq/Theatre District,Battery Park City
13-03-2019 06:17,13-03-2019 06:21,2,1.15,5.5,credit card,Upper East Side North,Lenox Hill West
07-03-2019 16:49,07-03-2019 16:57,1,1.3,7,cash,Lincoln Square East,Times Sq/Theatre District
04-03-2019 21:35,04-03-2019 21:53,1,4.87,17.5,cash,West Village,Upper West Side South
16-03-2019 16:36,16-03-2019 16:54,2,1,11.5,cash,Clinton East,Penn Station/Madison Sq West
16-03-2019 17:38,16-03-2019 17:56,4,1.89,12,cash,Midtown North,Union Sq
21-03-2019 21:30,21-03-2019 21:39,2,0.9,7,credit card,Greenwich Village South,Meatpacking/West Village West
20-03-2019 18:49,20-03-2019 19:12,1,13.45,36,cash,JFK Airport,Sunnyside
24-03-2019 01:13,24-03-2019 01:24,1,2.8,10.5,credit card,East Village,Sutton Place/Turtle Bay North
14-03-2019 12:11,14-03-2019 12:40,1,3.43,19,credit card,Union Sq,Lincoln Square West
05-03-2019 17:57,05-03-2019 18:45,2,19.59,52,credit card,JFK Airport,Upper East Side North
17-03-2019 13:55,17-03-2019 14:01,4,0.71,5.5,credit card,UN/Turtle Bay South,Midtown Center
01-03-2019 23:21,01-03-2019 23:46,1,4.5,18.5,credit card,Garment District,Financial District North
09-03-2019 19:24,09-03-2019 19:33,3,0.82,7,credit card,TriBeCa/Civic Center,Lower East Side
01-03-2019 22:49,01-03-2019 22:53,1,0.9,5,credit card,East Harlem South,East Harlem North
13-03-2019 10:55,13-03-2019 11:23,2,2.4,17.5,cash,Times Sq/Theatre District,Lenox Hill East
21-03-2019 23:33,21-03-2019 23:36,1,0.44,4,cash,Flatiron,East Chelsea
28-03-2019 21:59,28-03-2019 22:04,4,1.02,5.5,cash,Penn Station/Madison Sq West,Garment District
26-03-2019 10:14,26-03-2019 10:26,6,1.38,9,credit card,Midtown South,Midtown Center
02-03-2019 19:08,02-03-2019 19:31,1,2.42,15.5,credit card,Hudson Sq,Times Sq/Theatre District
15-03-2019 13:42,15-03-2019 13:49,1,0.66,6,credit card,Lenox Hill West,Lenox Hill West
04-03-2019 13:39,04-03-2019 13:58,1,3.3,15.5,cash,Garment District,Yorkville East
22-03-2019 02:22,22-03-2019 02:30,3,1.22,7.5,cash,Clinton East,Midtown North
31-03-2019 15:43,31-03-2019 15:53,1,0.55,7.5,credit card,Clinton East,Times Sq/Theatre District
27-03-2019 19:27,27-03-2019 19:48,1,3.51,16.5,credit card,Union Sq,Upper East Side North
13-03-2019 07:34,13-03-2019 07:38,1,1.07,5.5,credit card,East Chelsea,Garment District
12-03-2019 15:44,12-03-2019 16:02,1,1.98,11.5,credit card,Yorkville West,Upper West Side North
29-03-2019 08:48,29-03-2019 08:56,1,1,6.5,credit card,Murray Hill,Union Sq
02-03-2019 23:05,02-03-2019 23:17,1,1.85,10,cash,Clinton East,Lenox Hill West
17-03-2019 01:28,17-03-2019 02:04,1,7.95,30,cash,Flatiron,Jackson Heights
09-03-2019 13:42,09-03-2019 13:48,1,1,6.5,cash,Upper East Side North,Midtown East
05-03-2019 15:41,05-03-2019 15:46,1,0.6,5,credit card,Midtown Center,Midtown Center
18-03-2019 19:57,18-03-2019 20:06,2,1.57,8.5,credit card,Central Park,Midtown North
17-03-2019 22:47,17-03-2019 22:55,1,1.3,7.5,credit card,West Chelsea/Hudson Yards,Meatpacking/West Village West
15-03-2019 23:46,15-03-2019 23:59,1,1.47,9.5,cash,Midtown East,Penn Station/Madison Sq West
16-03-2019 18:57,16-03-2019 19:00,2,0.4,4,cash,Upper East Side North,Upper East Side North
14-03-2019 11:55,14-03-2019 12:08,6,1.84,10,credit card,East Harlem South,Upper East Side South
16-03-2019 21:03,16-03-2019 21:21,1,2.5,12.5,credit card,Meatpacking/West Village West,Chinatown
09-03-2019 19:54,09-03-2019 20:07,2,1.5,9.5,cash,Gramercy,Penn Station/Madison Sq West
03-03-2019 16:44,03-03-2019 16:48,1,1.02,5,credit card,Kips Bay,Stuy Town/Peter Cooper Village
04-03-2019 20:20,04-03-2019 20:24,1,0.6,5,cash,Morningside Heights,Morningside Heights
28-03-2019 22:57,28-03-2019 23:16,1,4.1,16,cash,Hudson Sq,Lincoln Square East
16-03-2019 05:08,16-03-2019 05:08,1,0.07,2.5,cash,Astoria,Astoria
27-03-2019 22:22,27-03-2019 22:41,1,5.99,20,credit card,Greenwich Village South,Yorkville West
07-03-2019 10:39,07-03-2019 11:05,5,2.55,16.5,cash,Midtown Center,Little Italy/NoLiTa
11-03-2019 08:46,11-03-2019 08:47,1,0.3,3,credit card,Upper East Side North,Upper East Side North
28-03-2019 07:05,28-03-2019 07:41,0,10.6,33.5,credit card,East Tremont,Midtown East
12-03-2019 12:02,12-03-2019 12:17,3,0.66,9.5,credit card,Sutton Place/Turtle Bay North,Midtown Center
06-03-2019 20:00,06-03-2019 20:11,3,2.6,11,credit card,Upper East Side South,Upper West Side North
28-03-2019 21:30,28-03-2019 21:42,1,1.6,9,credit card,Penn Station/Madison Sq West,Stuy Town/Peter Cooper Village
13-03-2019 16:11,13-03-2019 16:28,1,3.21,13.5,cash,Financial District South,Downtown Brooklyn/MetroTech
04-03-2019 22:34,04-03-2019 22:41,1,1.3,7.5,credit card,Midtown Center,Upper East Side South
08-03-2019 19:10,08-03-2019 19:18,2,0.9,7,cash,Midtown North,Times Sq/Theatre District
02-03-2019 10:47,02-03-2019 10:56,3,0.95,7.5,credit card,West Village,Flatiron
28-03-2019 11:28,28-03-2019 11:49,1,1.79,13.5,credit card,Lincoln Square East,Midtown South
29-03-2019 14:24,29-03-2019 14:31,1,1.15,7,credit card,Midtown Center,Lenox Hill West
01-03-2019 07:34,01-03-2019 07:40,1,1.2,6.5,cash,Bloomingdale,Upper West Side North
31-03-2019 11:50,31-03-2019 11:54,4,0.43,4,cash,Union Sq,Union Sq
28-03-2019 13:29,28-03-2019 13:56,3,9.5,30,cash,Queensboro Hill,Midtown South
12-03-2019 17:05,12-03-2019 17:12,1,1.1,6.5,credit card,Central Park,Upper West Side North
08-03-2019 18:43,08-03-2019 18:57,1,2.06,10,credit card,Gramercy,Midtown Center
04-03-2019 17:49,04-03-2019 17:55,1,0.78,5.5,credit card,Union Sq,Midtown South
22-03-2019 13:23,22-03-2019 13:43,4,2.42,13.5,credit card,Midtown South,Clinton West
09-03-2019 23:57,10-03-2019 00:16,1,2.73,13,credit card,SoHo,DUMBO/Vinegar Hill
20-03-2019 10:12,20-03-2019 10:31,1,5.7,20,credit card,Yorkville West,Greenwich Village South
15-03-2019 10:56,15-03-2019 11:37,1,11.93,39.5,credit card,Times Sq/Theatre District,LaGuardia Airport
22-03-2019 23:19,22-03-2019 23:31,1,1.7,10,credit card,Midtown Center,Upper West Side South
30-03-2019 12:28,30-03-2019 12:49,1,2.9,15,cash,Penn Station/Madison Sq West,Upper West Side South
05-03-2019 12:17,05-03-2019 12:36,1,5.98,19,credit card,Brooklyn Heights,Murray Hill
01-03-2019 16:10,01-03-2019 16:15,1,0.65,5,credit card,Midtown Center,Sutton Place/Turtle Bay North
25-03-2019 15:43,25-03-2019 15:58,1,1.76,10.5,cash,Times Sq/Theatre District,Flatiron
23-03-2019 09:39,23-03-2019 09:56,0,3.6,15.5,credit card,Yorkville East,Penn Station/Madison Sq West
11-03-2019 10:00,11-03-2019 10:04,2,0.58,4.5,credit card,Upper East Side South,Upper East Side North
14-03-2019 23:29,14-03-2019 23:37,1,1.22,7,cash,Alphabet City,East Village
21-03-2019 17:21,21-03-2019 17:21,1,0,2.5,cash,JFK Airport,JFK Airport
13-03-2019 20:00,13-03-2019 20:14,1,2.1,11,credit card,East Chelsea,East Village
10-03-2019 20:36,10-03-2019 20:47,2,2,9.5,credit card,Manhattan Valley,East Harlem South
20-03-2019 21:17,20-03-2019 21:22,1,0.83,5.5,cash,Clinton East,Midtown Center
04-03-2019 13:06,04-03-2019 13:16,1,1.79,9.5,credit card,Midtown Center,Upper East Side North
31-03-2019 17:17,31-03-2019 17:29,1,2.07,10,credit card,East Harlem South,Manhattan Valley
13-03-2019 08:46,13-03-2019 08:58,1,1.53,10,credit card,Lincoln Square West,Upper West Side North
21-03-2019 18:44,21-03-2019 19:30,1,10.21,37.61,credit card,East Chelsea,Marble Hill
06-03-2019 19:29,06-03-2019 20:08,1,10.8,36,credit card,LaGuardia Airport,Clinton East
17-03-2019 22:46,17-03-2019 23:04,1,3.43,14.5,credit card,Times Sq/Theatre District,East Village
10-03-2019 00:20,10-03-2019 00:27,3,0.57,6,cash,East Village,East Village
28-03-2019 18:06,28-03-2019 18:11,1,0.9,5.5,cash,Lincoln Square West,Lincoln Square East
12-03-2019 13:01,12-03-2019 13:04,1,0.6,4,cash,Kips Bay,Murray Hill
28-03-2019 21:09,28-03-2019 21:15,1,1.06,6,credit card,East Chelsea,Clinton East
11-03-2019 10:37,11-03-2019 10:50,5,1.56,10,credit card,Union Sq,Midtown Center
06-03-2019 18:59,06-03-2019 19:11,1,0.9,8.5,credit card,Gramercy,Union Sq
11-03-2019 11:56,11-03-2019 12:06,1,1.7,9,cash,Lincoln Square West,Upper West Side North
09-03-2019 19:07,09-03-2019 19:10,1,0.55,4.5,credit card,Yorkville East,Yorkville West
07-03-2019 19:26,07-03-2019 19:44,4,3,14,credit card,Clinton West,Greenwich Village North
19-03-2019 15:08,19-03-2019 15:34,6,6.4,23,credit card,Yorkville West,Greenwich Village South
29-03-2019 08:55,29-03-2019 09:13,2,4.14,16,credit card,Yorkville East,Kips Bay
31-03-2019 08:55,31-03-2019 09:00,1,1.1,6,cash,Clinton East,Central Park
30-03-2019 20:45,30-03-2019 21:06,1,2.61,14,credit card,Sutton Place/Turtle Bay North,Lower East Side
03-03-2019 12:37,03-03-2019 12:43,1,1.18,6.5,cash,Union Sq,East Village
23-03-2019 18:35,23-03-2019 18:47,1,3.2,12.5,credit card,UN/Turtle Bay South,East Village
26-03-2019 23:30,26-03-2019 23:40,1,2.8,10.5,credit card,East Chelsea,Lincoln Square West
11-03-2019 11:36,11-03-2019 11:57,2,5.09,19,credit card,Financial District North,Stuy Town/Peter Cooper Village
25-03-2019 15:51,25-03-2019 16:01,1,1.16,8,credit card,Flatiron,Greenwich Village North
27-03-2019 23:10,27-03-2019 23:22,3,2.77,11,credit card,East Chelsea,Seaport
